id,name,category,stars,description,price,image,reviews,schedule,menu,address,phone
11,Casa Ibérica,Española,4.4,Auténtica cocina española con una amplia selección de tapas y platos fuertes.,$$$,URL_imagen_Casa_Iberica,"[{""autor"": ""Fan de España"", ""texto"": ""Como estar en España, las tapas y arroces son increíbles.""}, {""autor"": ""Buena Comida"", ""texto"": ""Ingredientes frescos y preparaciones fieles a la tradición española.""}]",Consultar en sitio web,"[{""plato"": ""Paella de Mariscos"", ""precio"": ""$75000""}, {""plato"": ""Tortilla Española"", ""precio"": ""$28000""}, {""plato"": ""Gambas al Ajillo"", ""precio"": ""$40000""}, {""plato"": ""Chorizo a la Sidra"", ""precio"": ""$35000""}, {""plato"": ""Tapas Variadas (porción)"", ""precio"": ""$50000""}]","Cl. 3a Oe. # 3-07, Barrio Peñón",
12,Anamaya Indian restaurant,India,4.5,Experiencia culinaria india con platos llenos de sabor y especias auténticas.,$$,URL_imagen_Anamaya,"[{""autor"": ""Explorador de Sabores"", ""texto"": ""Una joya de la comida india en Cali, sabores intensos y deliciosos.""}, {""autor"": ""Vegano Feliz"", ""texto"": ""Excelentes opciones veganas y vegetarianas, muy bien logradas.""}]",Consultar en sitio web,"[{""plato"": ""Butter Chicken"", ""precio"": ""$45000""}, {""plato"": ""Vegetable Korma"", ""precio"": ""$38000""}, {""plato"": ""Biryani de Pollo"", ""precio"": ""$42000""}, {""plato"": ""Samosas (porción)"", ""precio"": ""$15000""}, {""plato"": ""Pan Naan con Ajo"", ""precio"": ""$8000""}]",Consultar dirección exacta,
13,El Escudo Restaurante Bar,Autor / Colombiana,4.6,Propuesta gastronómica de autor que reinterpreta ingredientes y sabores colombianos.,$$$,URL_imagen_El_Escudo,"[{""autor"": ""Crítico Local"", ""texto"": ""Una cocina creativa que rescata la riqueza culinaria del Pacífico y Cauca.""}, {""autor"": ""Sorprendido"", ""texto"": ""Platos únicos y llenos de historia, una experiencia memorable.""}]",Consultar en sitio web,"[{""plato"": ""Chicharrón Crocante con Puré"", ""precio"": ""$39000""}, {""plato"": ""Pulpo con Chimichurri de Mango Biche"", ""precio"": ""$68000""}, {""plato"": ""Arroz Caldoso del Pacífico"", ""precio"": ""$55000""}, {""plato"": ""Lomo de Cerdo con Salsa de Lulo"", ""precio"": ""$52000""}, {""plato"": ""Tostadas de Platano con Hogao Marino"", ""precio"": ""$30000""}]","Calle 4 Oeste #3-46, Barrio el Peñón",
14,Chef Burger Granada,Hamburguesas Gourmet,4.4,Hamburguesas artesanales con ingredientes seleccionados y combinaciones originales.,$$,URL_imagen_Chef_Burger_Granada,"[{""autor"": ""Fan de Hamburguesas"", ""texto"": ""Las mejores hamburguesas de Cali, jugosas y con mucho sabor.""}, {""autor"": ""Buena Opción"", ""texto"": ""Variedad de hamburguesas para todos los gustos y buenas papas.""}]",Todos los días: 12:00-22:00,"[{""plato"": ""Hamburguesa Clásica"", ""precio"": ""$28000""}, {""plato"": ""Hamburguesa Mexicana"", ""precio"": ""$32000""}, {""plato"": ""Hamburguesa vegetariana"", ""precio"": ""$29000""}, {""plato"": ""Papitas Rústicas"", ""precio"": ""$12000""}, {""plato"": ""Malteada"", ""precio"": ""$15000""}]","Calle 16 N #6-37, Granada",
15,Crepes & Waffles Ciudad Jardín,Variada / Postres,4.5,"Amplio menú con crepes de sal y de dulce, waffles, ensaladas y helados.",$$,URL_imagen_Crepes_Waffles_Ciudad_Jardin,"[{""autor"": ""Cliente Frecuente"", ""texto"": ""Siempre una opción segura y deliciosa, perfecto para cualquier momento del día.""}, {""autor"": ""Postrero"", ""texto"": ""Los crepes de dulce y los helados son simplemente irresistibles.""}]",Todos los días: 08:00-21:00,"[{""plato"": ""Crepe Provenzal"", ""precio"": ""$30000""}, {""plato"": ""Waffle con Frutas y Crema"", ""precio"": ""$25000""}, {""plato"": ""Ensalada Mediterránea"", ""precio"": ""$33000""}, {""plato"": ""Crepe de Pollo con Champiñones"", ""precio"": ""$31000""}, {""plato"": ""Helado Artesanal (bola)"", ""precio"": ""$9000""}]","Carrera 105 #14-88, Ciudad Jardín",
16,Storia D'amore Granada,Italiana,4.6,Restaurante italiano con un ambiente romántico y platos clásicos de la cocina italiana.,$$$,URL_imagen_Storia_Damore_Granada,"[{""autor"": ""Pareja"", ""texto"": ""El lugar perfecto para una cena romántica, ambiente y comida excelentes.""}, {""autor"": ""Amante de la Pasta"", ""texto"": ""Auténtica pasta italiana con salsas deliciosas.""}]",Consultar en sitio web,"[{""plato"": ""Lasaña Boloñesa"", ""precio"": ""$45000""}, {""plato"": ""Fetuccini Alfredo con Pollo"", ""precio"": ""$42000""}, {""plato"": ""Pizza Margarita"", ""precio"": ""$38000""}, {""plato"": ""Risotto Funghi"", ""precio"": ""$49000""}, {""plato"": ""Tiramisú"", ""precio"": ""$20000""}]","Av. 9N #14N-46, Granada",
17,El Rancho de Jonás,Carnes / Parrilla,4.5,Especialistas en carnes a la parrilla con cortes premium y ambiente campestre.,$$$,URL_imagen_Rancho_Jonas,"[{""autor"": ""Carnívoro"", ""texto"": ""La mejor carne a la parrilla de Cali, en su punto y deliciosa.""}, {""autor"": ""Familiar"", ""texto"": ""Un lugar agradable para compartir en familia y disfrutar de un buen asado.""}]",Consultar en sitio web,"[{""plato"": ""Baby Beef"", ""precio"": ""$60000""}, {""plato"": ""Churrasco"", ""precio"": ""$55000""}, {""plato"": ""Punta de Anca"", ""precio"": ""$68000""}, {""plato"": ""Morcilla"", ""precio"": ""$15000""}, {""plato"": ""Chorizo Santarrosano"", ""precio"": ""$14000""}]",Consultar dirección exacta,
18,D'Toluca Restaurante Bar,Mexicana,4.2,Restaurante y bar mexicano con música en vivo y un ambiente vibrante.,$$,URL_imagen_DToluca,"[{""autor"": ""Noche de Amigos"", ""texto"": ""Ideal para unas cervezas y unos tacos con buena música.""}, {""autor"": ""Ambiente Mexicano"", ""texto"": ""Se siente como estar en México, la decoración y la música son geniales.""}]",Consultar en sitio web,"[{""plato"": ""Tacos Surtidos (Pastor, Carnitas, Pollo)"", ""precio"": ""$35000""}, {""plato"": ""Quesadillas"", ""precio"": ""$28000""}, {""plato"": ""Burrito California"", ""precio"": ""$40000""}, {""plato"": ""Michelada"", ""precio"": ""$20000""}, {""plato"": ""Jarrito Loco"", ""precio"": ""$25000""}]",Consultar dirección exacta,
19,El Zaguán de San Antonio,Colombiana,4.3,Comida típica colombiana en el histórico barrio de San Antonio.,$$,URL_imagen_Zaguan_San_Antonio,"[{""autor"": ""Tradicional"", ""texto"": ""El sabor de la comida colombiana casera en un lugar emblemático.""}, {""autor"": ""Buen Almuerzo"", ""texto"": ""Platos del día variados y muy ricos a buen precio.""}]",Lun-Vie: 12:00-16:00; Sab-Dom: 12:00-17:00,"[{""plato"": ""Bandeja del Día"", ""precio"": ""$25000""}, {""plato"": ""Ajiaco"", ""precio"": ""$30000""}, {""plato"": ""Chuleta de Cerdo"", ""precio"": ""$28000""}, {""plato"": ""Bagre Sudado"", ""precio"": ""$35000""}, {""plato"": ""Posta Sudada"", ""precio"": ""$32000""}]","Carrera 12 #1-29, San Antonio",
20,Patio Santo,Mediterránea,4.4,Cocina mediterránea en un patio interior con un ambiente tranquilo y agradable.,$$$,URL_imagen_Patio_Santo,"[{""autor"": ""Relax"", ""texto"": ""Un oasis de tranquilidad en la ciudad con comida deliciosa.""}, {""autor"": ""Ambiente Charmant"", ""texto"": ""Ideal para una cena íntima o una tarde de conversación.""}]",Consultar en sitio web,"[{""plato"": ""Ensalada con Salmón Ahumado"", ""precio"": ""$42000""}, {""plato"": ""Risotto de Setas"", ""precio"": ""$48000""}, {""plato"": ""Filete de Pescado Blanco"", ""precio"": ""$55000""}, {""plato"": ""Provoleta a la Parrilla"", ""precio"": ""$35000""}, {""plato"": ""Tarta de Limón"", ""precio"": ""$18000""}]",Consultar dirección exacta,
21,El Quinto Pecado,De Autor,4.5,Cocina de autor con una propuesta creativa y experimental.,$$$$,URL_imagen_El_Quinto_Pecado,"[{""autor"": ""Aventurero Culinario"", ""texto"": ""Cada plato es una obra de arte, sabores y texturas sorprendentes.""}, {""autor"": ""Experiencia Única"", ""texto"": ""Un restaurante para quienes buscan algo diferente y memorable.""}]",Consultar en sitio web,"[{""plato"": ""Menú Degustación (Precio por Persona)"", ""precio"": ""$150000""}, {""plato"": ""Entrada Sorpresa del Chef"", ""precio"": ""$50000""}, {""plato"": ""Principal Innovador (varía)"", ""precio"": ""$70000""}, {""plato"": ""Postre Creativo"", ""precio"": ""$35000""}, {""plato"": ""Coctel de la Casa"", ""precio"": ""$30000""}]",Consultar dirección exacta,
22,Andrés Pasta y Pez,Italiana / Pescados y Mariscos,4.3,Combina lo mejor de la cocina italiana con frescos pescados y mariscos.,$$$,URL_imagen_Andres_Pasta_y_Pez,"[{""autor"": ""Fan de la Comida de Mar"", ""texto"": ""Deliciosa combinación de pasta y frutos de mar frescos.""}, {""autor"": ""Buena Fusión"", ""texto"": ""Ideal si te gustan tanto la comida italiana como los productos del mar.""}]",Consultar en sitio web,"[{""plato"": ""Linguini Frutti di Mare"", ""precio"": ""$55000""}, {""plato"": ""Risotto ai Gamberi"", ""precio"": ""$52000""}, {""plato"": ""Filete de Dorado en Salsa Blanca"", ""precio"": ""$60000""}, {""plato"": ""Carpaccio de Salmón"", ""precio"": ""$48000""}, {""plato"": ""Tiradito Mixto"", ""precio"": ""$45000""}]",Consultar dirección exacta,
23,Origami,Asiática / Fusión,4.4,"Cocina asiática con toques de fusión, ofreciendo sushi, woks y otros platos.",$$,URL_imagen_Origami,"[{""autor"": ""Amante de Asia"", ""texto"": ""Sabores asiáticos auténticos con un toque moderno.""}, {""autor"": ""Variedad"", ""texto"": ""Buen sushi y opciones interesantes de woks y arroces.""}]",Consultar en sitio web,"[{""plato"": ""Bandeja de Sushi Variada"", ""precio"": ""$50000""}, {""plato"": ""Wok de Pollo Teriyaki"", ""precio"": ""$38000""}, {""plato"": ""Arroz Frito Especial"", ""precio"": ""$35000""}, {""plato"": ""Rollos Primavera"", ""precio"": ""$16000""}, {""plato"": ""Sopa Miso"", ""precio"": ""$9000""}]",Consultar dirección exacta,
24,La Boqueria Menga,Internacional,4,Variedad de opciones gastronómicas en un formato similar a un mercado gourmet.,$$,URL_imagen_La_Boqueria_Menga,"[{""autor"": ""Grupo de Amigos"", ""texto"": ""Perfecto para ir en grupo, cada uno puede elegir lo que más le gusta.""}, {""autor"": ""Ambiente Informal"", ""texto"": ""Ideal para una comida casual con diferentes opciones de comida.""}]",Consultar en sitio web,"[{""plato"": ""Hamburguesa Artesanal"", ""precio"": ""$30000""}, {""plato"": ""Pizza Personal"", ""precio"": ""$28000""}, {""plato"": ""Tacos"", ""precio"": ""$25000""}, {""plato"": ""Comida de Mar (varía)"", ""precio"": ""$40000""}, {""plato"": ""Postre del Día"", ""precio"": ""$15000""}]","Consultar dirección exacta, Menga",
25,Sirena Gourmet,Pescados y Mariscos / Mediterránea,4.4,"Cocina de mar con influencias mediterráneas, ofreciendo platos frescos y creativos.",$$$,URL_imagen_Sirena_Gourmet,"[{""autor"": ""Comida Deliciosa"", ""texto"": ""Combinación perfecta de sabores del mar y toques mediterráneos.""}, {""autor"": ""Presentación Impecable"", ""texto"": ""Los platos son hermosos y deliciosos.""}]",Consultar en sitio web,"[{""plato"": ""Pulpo a la Provenzal"", ""precio"": ""$65000""}, {""plato"": ""Risotto Negro con Calamar"", ""precio"": ""$60000""}, {""plato"": ""Filete de Robalo a la Marinera"", ""precio"": ""$58000""}, {""plato"": ""Carpaccio de Atún"", ""precio"": ""$52000""}, {""plato"": ""Tostadas de Camarones"", ""precio"": ""$38000""}]",Consultar dirección exacta,
26,Rodizio Rio D'Enero Ciudad Jardin,Brasilera / Carnes,4.5,Espacio para disfrutar de espadas brasileñas y cortes de carne al estilo rodizio.,$$$,URL_imagen_Rodizio_Rio_Denero,"[{""autor"": ""Carnívoro Feliz"", ""texto"": ""Un paraíso para los amantes de la carne, excelente variedad y calidad.""}, {""autor"": ""Experiencia Churrascaría"", ""texto"": ""La atención es muy buena y la carne no deja de llegar.""}]",Consultar en sitio web,"[{""plato"": ""Rodizio Tradicional (Precio por Persona)"", ""precio"": ""$70000""}, {""plato"": ""Picaña"", ""precio"": ""Incluido en Rodizio""}, {""plato"": ""Punta de Anca"", ""precio"": ""Incluido en Rodizio""}, {""plato"": ""Corazón de Pollo"", ""precio"": ""Incluido en Rodizio""}, {""plato"": ""Barra de Ensaladas y Guarniciones"", ""precio"": ""Incluido en Rodizio""}]","Consultar dirección exacta, Ciudad Jardín",
27,Fogon del Mar,Pacífico Colombiano,4.3,Sabores auténticos del Pacífico colombiano preparados a la leña.,$$,URL_imagen_Fogon_del_Mar,"[{""autor"": ""Sabor Ancestral"", ""texto"": ""La verdadera cocina del Pacífico con el toque ahumado del fogón.""}, {""autor"": ""Recomendado"", ""texto"": ""El pescado ahumado es espectacular y los acompañamientos perfectos.""}]",Consultar en sitio web,"[{""plato"": ""Pescado Ahumado con Arroz de Tumbacatre"", ""precio"": ""$50000""}, {""plato"": ""Cazuela Vallenata"", ""precio"": ""$45000""}, {""plato"": ""Encocado de Camarones"", ""precio"": ""$48000""}, {""plato"": ""Arroz Clavado"", ""precio"": ""$40000""}, {""plato"": ""Abocollo"", ""precio"": ""$18000""}]",Consultar dirección exacta,
28,Mar Peruano,Peruana,4.4,"Auténtica cocina peruana con ceviches, tiraditos y platos criollos.",$$,URL_imagen_Mar_Peruano,"[{""autor"": ""Fan de Perú"", ""texto"": ""Los mejores ceviches de Cali, sabor fresco y auténtico.""}, {""autor"": ""Excelente Opción"", ""texto"": ""Variedad de platos peruanos bien logrados y a buen precio.""}]",Consultar en sitio web,"[{""plato"": ""Ceviche Clásico"", ""precio"": ""$38000""}, {""plato"": ""Lomo Saltado"", ""precio"": ""$42000""}, {""plato"": ""Arroz Chaufa de Pollo"", ""precio"": ""$35000""}, {""plato"": ""Tiradito Nikkei"", ""precio"": ""$40000""}, {""plato"": ""Causa Rellena"", ""precio"": ""$28000""}]",Consultar dirección exacta,
29,El Zaguan de San Antonio,Colombiana,4.3,Cocina tradicional colombiana en un ambiente histórico y cultural en San Antonio.,$$,URL_imagen_El_Zaguan_de_San_Antonio,"[{""autor"": ""Viajero"", ""texto"": ""Un pedacito de la historia de Cali con sabores auténticos.""}, {""autor"": ""Almuerzo Tradicional"", ""texto"": ""Ideal para probar platos típicos en un entorno con encanto.""}]",Consultar en sitio web,"[{""plato"": ""Bandeja Típica"", ""precio"": ""$30000""}, {""plato"": ""Sancocho de Cola"", ""precio"": ""$33000""}, {""plato"": ""Bagre Frito"", ""precio"": ""$36000""}, {""plato"": ""Empanadas Vallunas"", ""precio"": ""$7000""}, {""plato"": ""Aborrajados"", ""precio"": ""$8000""}]","Carrera 12 #1-29, San Antonio",
30,Vegetariano El Buen Alimento,Vegetariana,4.5,Opciones vegetarianas y veganas creativas y deliciosas para una comida saludable.,$,,"[{""autor"": ""Vegetariano"", ""texto"": ""Una excelente opción con mucha variedad y sabor para vegetarianos y veganos.""}, {""autor"": ""Saludable"", ""texto"": ""Comida fresca, saludable y muy bien preparada.""}]",Lun-Vie: 08:00-16:00; Sab: 08:00-15:00; Dom: Cerrado,"[{""plato"": ""Menú del Día Vegetariano"", ""precio"": ""$18000""}, {""plato"": ""Hamburguesa de Lentejas"", ""precio"": ""$25000""}, {""plato"": ""Wrap de Vegetales"", ""precio"": ""$22000""}, {""plato"": ""Ensalada Grande"", ""precio"": ""$20000""}, {""plato"": ""Jugo Verde"", ""precio"": ""$9000""}]","Carrera 70 #13 A 45, Bosques Del Limonar",
31,El Rancho de Jonás Pance,Carnes / Parrilla,4.4,"Sede de El Rancho de Jonás en Pance, ideal para disfrutar de carnes a la parrilla en un ambiente más alejado del centro.",$$$,URL_imagen_Rancho_Jonas_Pance,"[{""autor"": ""Escape de la Ciudad"", ""texto"": ""Perfecto para un plan de fin de semana, buena carne y entorno agradable.""}, {""autor"": ""Parrilla"", ""texto"": ""La misma calidad de carne que en la otra sede, excelente opción en el sur.""}]",Consultar en sitio web,"[{""plato"": ""Lomo Viche a la Parrilla"", ""precio"": ""$58000""}, {""plato"": ""Entraña"", ""precio"": ""$62000""}, {""plato"": ""Pollo a la Brasa"", ""precio"": ""$40000""}, {""plato"": ""Papas a la Francesa"", ""precio"": ""$12000""}, {""plato"": ""Ensalada"", ""precio"": ""$10000""}]","Consultar dirección exacta, Pance",
32,La Comitiva,Fusión / Colombiana,4.5,Cocina colombiana con toques modernos y presentaciones creativas.,$$$,URL_imagen_La_Comitiva,"[{""autor"": ""Crítico Local"", ""texto"": ""Una propuesta interesante que rescata sabores tradicionales con técnicas de vanguardia.""}, {""autor"": ""Experiencia Gourmet"", ""texto"": ""Platos sorprendentes y un ambiente muy agradable.""}]",Consultar en sitio web,"[{""plato"": ""Pulpo a la Parrilla con Hogao"", ""precio"": ""$65000""}, {""plato"": ""Arroz Atollado de Mariscos"", ""precio"": ""$60000""}, {""plato"": ""Ceviche de Chontaduro"", ""precio"": ""$48000""}, {""plato"": ""Lomo de Cerdo Glaseado"", ""precio"": ""$55000""}, {""plato"": ""Postre de Lulo"", ""precio"": ""$20000""}]",Consultar dirección exacta,
33,Restaurante Rayuela,Argentina,4.3,Auténtica parrilla argentina con cortes de carne importados y ambiente tanguero.,$$$,URL_imagen_Rayuela,"[{""autor"": ""Amante de la Carne Argentina"", ""texto"": ""La mejor carne argentina en Cali, jugosa y con el sabor característico.""}, {""autor"": ""Noche de Tango"", ""texto"": ""Excelente comida y si hay show de tango, la experiencia es completa.""}]",Consultar en sitio web,"[{""plato"": ""Bife de Chorizo"", ""precio"": ""$70000""}, {""plato"": ""Ojo de Bife"", ""precio"": ""$75000""}, {""plato"": ""Asado de Tira"", ""precio"": ""$68000""}, {""plato"": ""Empanadas Argentinas (unidad)"", ""precio"": ""$9000""}, {""plato"": ""Provoleta"", ""precio"": ""$30000""}]",Consultar dirección exacta,
34,Zumaia,Colombiana / Fusión,4.2,Cocina colombiana con toques de fusión y presentaciones modernas.,$$$,URL_imagen_Zumaia,"[{""autor"": ""Crítico Culinario"", ""texto"": ""Una propuesta arriesgada que combina ingredientes locales de forma interesante.""}, {""autor"": ""Platos Diferentes"", ""texto"": ""Si buscas algo fuera de lo común, este es el lugar.""}]",Consultar en sitio web,"[{""plato"": ""Pescado con Salsa de Maracuyá"", ""precio"": ""$58000""}, {""plato"": ""Cerdito Confitado"", ""precio"": ""$52000""}, {""plato"": ""Tartar de Trucha"", ""precio"": ""$45000""}, {""plato"": ""Sopa Fría de Aguacate"", ""precio"": ""$25000""}, {""plato"": ""Brownie con Helado de Vainilla y Arequipe"", ""precio"": ""$19000""}]",Consultar dirección exacta,
